time_s,time_h,variable,r=0cm,r=0.5cm,r=1cm,r=1.5cm,r=2cm
1800,0.5,temperature_C,32.18920681284618,32.38213734308141,32.9659580667236,33.96079584689721,35.41302424130322
1800,0.5,C_kg_kg,2.5499334881586337,2.5488788812997214,2.525531683592156,2.32566996264817,1.6486159252843855
3600,1.0,temperature_C,40.38150427925217,40.55355818091107,41.06047237628093,41.87821017193369,42.997598843164894
3600,1.0,C_kg_kg,2.5257259146669058,2.4947639428970394,2.3577997028657456,2.022957132075873,1.4710994708031855
5400,1.5,temperature_C,45.846707226823526,45.934786971667506,46.192934298455214,46.605057073147236,47.140029793949736
5400,1.5,C_kg_kg,2.3860613698785706,2.325617994645585,2.1343996373836096,1.8020149820811922,1.3475714425427292
7200,2.0,temperature_C,48.45020852539034,48.48804597068016,48.59843073536388,48.773538519887666,49.003313103811934
7200,2.0,C_kg_kg,2.1708597600451487,2.108423951495111,1.9236235892362004,1.6259366744404338,1.231095103955437
9000,2.5,temperature_C,49.46696804802565,49.4792114750436,49.513641576675695,49.56532756740501,49.660914380913994
9000,2.5,C_kg_kg,1.9566543370034788,1.9005924607384612,1.7359774593687216,1.4719849740962523,1.116649466178762
10800,3.0,temperature_C,49.84949138949156,49.85533835232911,49.87460973542943,49.910145807522724,49.966412051485236
10800,3.0,C_kg_kg,1.7661906589621064,1.7165307266619627,1.5701966831733993,1.3332614568537153,1.0081248339776467
