time_s,R_m,T_K_max_abs,T_K_r_m,T_K_z_m,T_K_volume_RMSE,T_K_midplane_max_abs,T_K_endface_max_abs,T_K_middle_zone_max_abs,T_K_end_zone_max_abs,C_kg_kg_max_abs,C_kg_kg_r_m,C_kg_kg_z_m,C_kg_kg_volume_RMSE,C_kg_kg_midplane_max_abs,C_kg_kg_endface_max_abs,C_kg_kg_middle_zone_max_abs,C_kg_kg_end_zone_max_abs
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.02,0.00025294773593032005,0.02,0.125,3.1074935211399697e-06,2.9528986772220378e-05,0.00025294773593032005,2.9528986772220378e-05,0.00025294773593032005,0.19293252266517147,0.02,0.125,0.0007628920723815851,0.048928954914237544,0.19293252266517147,0.048928954914237544,0.19293252266517147
2.0,0.02,0.0005467484670589329,0.02,0.125,1.1274026034071336e-05,4.2486821826059895e-05,0.0005467484670589329,4.2486821826059895e-05,0.0005467484670589329,0.18737810961447998,0.02,0.125,0.001100353984830793,0.041562366387305705,0.18737810961447998,0.041562366387305705,0.18737810961447998
3.0,0.02,0.0008858808926106576,0.02,0.125,2.40486310677236e-05,5.2056002175504545e-05,0.0008858808926106576,5.2056002175504545e-05,0.0008858808926106576,0.18411626238583878,0.02,0.125,0.0012326721034173435,0.03650686715259299,0.18411626238583878,0.03650686715259299,0.18411626238583878
4.0,0.02,0.0012657055968929853,0.02,0.125,4.0980013041500474e-05,5.993840045448451e-05,0.0012657055968929853,5.993840045448451e-05,0.0012657055968929853,0.18209623620623505,0.02,0.125,0.0013018652771377244,0.03271124632511846,0.18209623620623505,0.03271124632511846,0.18209623620623505
5.0,0.02,0.0016820745045151853,0.02,0.125,6.174616353273185e-05,6.6753288081145e-05,0.0016820745045151853,6.6753288081145e-05,0.0016820745045151853,0.18085763950298217,0.02,0.125,0.0013677890020564263,0.029714702322976017,0.18085763950298217,0.029714702322976017,0.18085763950298217
6.0,0.02,0.002136879244915235,0.017906128133581126,0.125,8.610404814838455e-05,7.281239930989614e-05,0.002136879244915235,7.281239930989614e-05,0.002136879244915235,0.1801552528378192,0.02,0.125,0.0014512135748920064,0.02727164216585054,0.1801552528378192,0.02727164216585054,0.1801552528378192
7.0,0.02,0.0026359664221331514,0.017906128133581126,0.125,0.00011386220754995422,7.829962981986682e-05,0.0026359664221331514,7.829962981986682e-05,0.0026359664221331514,0.1798415627882246,0.02,0.125,0.0015554855755238006,0.02523420565388035,0.1798415627882246,0.02523420565388035,0.1798415627882246
8.0,0.02,0.003167579030446177,0.017423400198398047,0.125,0.00014486460753624657,8.333442013963577e-05,0.003167579030446177,8.333442013963577e-05,0.003167579030446177,0.1798203874393054,0.02,0.125,0.0016773093505310726,0.023505885147975025,0.1798203874393054,0.023505885147975025,0.1798203874393054
9.0,0.02,0.003729003116404783,0.016937621454587867,0.125,0.0001789806056361485,8.799960409078267e-05,0.003729003116404783,8.799960409078267e-05,0.003729003116404783,0.18002535338943382,0.02,0.125,0.001811921179910305,0.02201999882953576,0.18002535338943382,0.02201999882953576,0.18002535338943382
10.0,0.02,0.004318997785276224,0.016937621454587867,0.125,0.0002160984308085169,9.23554426890405e-05,0.004318997785276224,9.23554426890405e-05,0.004318997785276224,0.18040869504869228,0.02,0.125,0.0019551239216108575,0.02072848735748778,0.18040869504869228,0.02072848735748778,0.18040869504869228
11.0,0.02,0.004935877148852796,0.016449307315472436,0.125,0.000256120774844961,9.644740742942304e-05,0.004935877148852796,9.644740742942304e-05,0.004935877148852796,0.1809349130137976,0.02,0.125,0.00210378489819868,0.019595570281071506,0.1809349130137976,0.019595570281071506,0.1809349130137976
12.0,0.02,0.005578359071535033,0.016449307315472436,0.125,0.0002989617056567747,0.00010031081399120012,0.005578359071535033,0.00010031081399120012,0.005578359071535033,0.18157694431716553,0.02,0.125,0.002255743003986652,0.01859391477333272,0.18157694431716553,0.01859391477333272,0.18157694431716553
13.0,0.02,0.006245486657803667,0.015958841248602224,0.125,0.00034454443878408303,0.00010397374097692591,0.006245486657803667,0.00010397374103376933,0.006245486657803667,0.18231372880498142,0.02,0.125,0.002409567818621255,0.01770220080291951,0.18231372880498142,0.01770220080291951,0.18231372880498142
14.0,0.02,0.0069359836882654236,0.015466518150203626,0.125,0.0003927996847169417,0.00010745895019681484,0.0069359836882654236,0.00010745895019681484,0.0069359836882654236,0.18312859765996503,0.02,0.125,0.002564333151309082,0.016903508674045664,0.18312859765996503,0.016903508674045664,0.18312859765996503
15.0,0.02,0.007649247408323845,0.015466518150203626,0.125,0.00044366439412536085,0.00011078519690954636,0.007649247408323845,0.00011078519690954636,0.007649247408323845,0.18400816943951392,0.02,0.125,0.002719445589610966,0.016184214248984308,0.18400816943951392,0.016184214248984308,0.18400816943951392
16.0,0.02,0.008384190751257847,0.014972570178703999,0.125,0.0004970807854683403,0.00011396815312991748,0.008384190751257847,0.00011396815312991748,0.008384190751257847,0.1849415719359686,0.02,0.125,0.0028745259992530216,0.015533210121334573,0.1849415719359686,0.015533210121335017,0.1849415719359686
17.0,0.02,0.009140255355987392,0.014972570178703999,0.125,0.0005529955777209926,0.00011702107343580792,0.009140255355987392,0.00011702107343580792,0.009140255355987392,0.1859198802568458,0.02,0.125,0.003029331355942044,0.014941343110658867,0.1859198802568458,0.014941343110658867,0.1859198802568458
