time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg
60.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999933,2.5499999999908374,2.5499999990590765,2.5499999280402386,2.5499960911646067,2.5498583765503153,2.546853983581438,2.5115621810000155,2.318742233362764
120.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999976,2.5499999999997667,2.549999999987381,2.5499999994399234,2.5499999799269952,2.549999432696725,2.5499877071884764,2.5498024500226335,2.5477345427849505,2.532213470895335,2.457710129203112,2.237075327668768
180.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999057,2.549999999996643,2.54999999989883,2.54999999741991,2.5499999451089317,2.549999041633261,2.54998651769508,2.5498502441244963,2.548714993305803,2.541666581513498,2.509895132111946,2.407923463718756,2.176211901517109
240.0,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999983,2.5499999999994634,2.5499999999872176,2.5499999997335503,2.5499999951955656,2.5499999258995167,2.549999034195448,2.54998949913168,2.5499060539966014,2.549318105245472,2.5460391163538096,2.5318002039251484,2.4842854405582955,2.3631674195913943,2.1264623843116093
300.0,2.55,2.55,2.55,2.55,2.55,2.549999999999927,2.549999999998586,2.5499999999744682,2.549999999589541,2.5499999941873344,2.5499999281711636,2.54999923283067,2.5499929871050124,2.5499456785222554,2.5496470052777838,2.548093918177967,2.5415176251669713,2.5190612106095545,2.4575908716867576,2.322706999905603,2.0840909528244658
360.0,2.55,2.55,2.55,2.549999999999993,2.5499999999998453,2.5499999999975698,2.5499999999645038,2.549999999531172,2.54999999445876,2.549999941890475,2.549999463696968,2.5499956783856987,2.549969831585219,2.5498189441807466,2.54907253026038,2.5459702640747457,2.5352186077766885,2.5043171981144443,2.4308212158422284,2.2858070142694964,2.046999295680732
420.0,2.55,2.55,2.549999999999983,2.5499999999997502,2.549999999996771,2.5499999999603644,2.5499999995529574,2.5499999954206762,2.549999957766027,2.549999651944534,2.549997454711754,2.549983591482115,2.5499073304887068,2.5495441493020063,2.548056861334505,2.542851317588049,2.527355618361997,2.4882375806418593,2.4044916899297046,2.251898960046454,2.0138871839911285
480.0,2.5500000000000043,2.5499999999999643,2.549999999999656,2.5499999999963174,2.549999999961323,2.5499999996189757,2.5499999965368776,2.549999971262267,2.5499997840051734,2.549998539433956,2.549991167437563,2.5499524915885177,2.5497738389852214,2.5490513046536947,2.546505872162753,2.5387284696678556,2.5181819154777165,2.47130711192581,2.378846926676517,2.2205237829145923,1.9838764530473811
540.0,2.549999999999885,2.5499999999995184,2.549999999996076,2.5499999999649905,2.5499999996962286,2.549999997518411,2.5499999812104104,2.549999869443437,2.5499991736215044,2.549995263573525,2.5499755448522343,2.5498867687253792,2.5495317022822386,2.548275729947167,2.5443617512982324,2.533649000665707,2.5079430019235067,2.4538742801513727,2.354000442353412,2.1913082912264263,1.9564929149918031
600.0,2.5499999999988217,2.5499999999954985,2.549999999968794,2.549999999764796,2.5499999982699713,2.549999987970333,2.5499999221248264,2.5499995350840248,2.549997457762375,2.549987335697134,2.549942783491719,2.5497664457597837,2.5491413662523508,2.5471639887348334,2.54159818843266,2.527687897132603,2.4968487924749487,2.4361684251016475,2.329964819193511,2.1639660230475206,1.9313438123961795
660.0,2.5499999999905425,2.5499999999688105,2.5499999998146476,2.5499999987955695,2.5499999923309495,2.5499999536496776,2.549999738073101,2.5499986285693956,2.5499933889950386,2.549970802853528,2.549882324334975,2.5495685639506327,2.5485647534492797,2.5456757096233718,2.5382123109730514,2.5209304939521715,2.485074296434987,2.41835233863096,2.3067389524393977,2.1382755291839386,1.9081464898822986
