time_s,C_r0.0_cm_kg_kg,C_r0.1_cm_kg_kg,C_r0.2_cm_kg_kg,C_r0.3_cm_kg_kg,C_r0.4_cm_kg_kg,C_r0.5_cm_kg_kg,C_r0.6_cm_kg_kg,C_r0.7_cm_kg_kg,C_r0.8_cm_kg_kg,C_r0.9_cm_kg_kg,C_r1.0_cm_kg_kg,C_r1.1_cm_kg_kg,C_r1.2_cm_kg_kg,C_r1.3_cm_kg_kg,C_r1.4_cm_kg_kg,C_r1.5_cm_kg_kg,C_r1.6_cm_kg_kg,C_r1.7_cm_kg_kg,C_r1.8_cm_kg_kg,C_r1.9_cm_kg_kg,C_r2.0_cm_kg_kg,药材表面
60.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999043,2.549999999861523,2.5499998770059924,2.549940102149042,2.5375638843475117,,1.9938326426783959
120.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998595,2.5499999999243945,2.549999972795649,2.549993779417452,2.549204752469038,2.5042643319292965,,1.8806075484091667
180.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999961,2.549999999986079,2.5499999967286913,2.549999466689614,2.549944254133575,2.546680151147467,2.456529065249409,,1.7910691180046896
240.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999998218,2.54999999967473,2.5499999564187648,2.5499959285436464,2.5497539034008314,2.5413619221978117,2.399722085230575,,1.7174872158161674
300.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998133,2.5499999999702196,2.5499999964935833,2.549999695306672,2.549981444192599,2.5492618439175088,2.532611779540702,2.3376528591801726,,1.6560046984403594
360.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999896,2.5499999999973886,2.5499999997190392,2.5499999767978627,2.5499985810955343,2.5499388529759424,2.5482614887653976,2.5201486995339133,2.2728343738532097,,1.6032440504893113
420.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999997836,2.5499999999774685,2.5499999982084685,2.549999890197642,2.549994999584472,2.5498386057878544,2.546446550023453,2.501721185376008,2.194207648498504,,1.5572067143940844
480.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999997,2.5499999999981924,2.54999999986003,2.5499999914131393,2.549999592962926,2.5499848132329315,2.54959262798871,2.5429974128405095,2.477074459521741,2.115468795997637,,1.5163049486093347
540.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999861,2.549999999988952,2.549999999321974,2.549999966162163,2.5499985551753426,2.5499566723463545,2.549109615169916,2.5379747689561785,2.448636927040616,2.0393058445244074,,1.479972658509015
600.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999126,2.549999999945971,2.549999997069702,2.5499998678946665,2.5499956514543403,2.5498970830956553,2.5483009069505806,2.5312163554008724,2.417054125113464,1.9659347077703917,,1.4473569937550308
660.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999337,2.5499999999956615,2.549999999754272,2.5499999883105744,2.5499995829561137,2.5499889209937776,2.5497854200152354,2.54706231990783,2.5226299964180066,2.3829189852243893,1.8954337884001229,,1.418042492599383
720.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999996543,2.5499999999800114,2.549999998994641,2.5499999614433886,2.549998870664431,2.5499750726870327,2.54959471432321,2.545289414456171,2.5121808886884804,2.3467438043337743,1.8277964843288634,,1.3912733605796281
780.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999936,2.5499999999984317,2.549999999915828,2.5499999965441535,2.54999988975244,2.5499972835433495,2.5499491202144178,2.5492919682665387,2.5428833936237085,2.4998879400945633,2.3089987062829103,1.7629471312931244,,1.3668173807642325
840.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999881,2.5499999999931564,2.549999999698867,2.5499999896160475,2.549999718535653,2.5499940599315725,2.5499040257506236,2.548838965270587,2.539755140569939,2.4858069379713124,2.270072398787716,1.7007826898871636,,1.3442418296565906
900.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999468,2.5499999999744984,2.5499999990522673,2.549999972016114,2.549999345198341,2.5499879942517203,2.5498304184359175,2.5481934340407384,2.5358286385629896,2.4700266779432356,2.2303124949875572,1.6411559261536568,,1.3232974728261488
960.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999714,2.5499999999979144,2.5499999999160696,2.549999997314894,2.549999931121405,2.5499985910204996,2.549977292314192,2.5497164307254048,2.5473104748161832,2.531042310541525,2.4526525673102784,2.1899873526642186,1.5839369265873626,,1.3040363125354115
1020.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998395,2.549999999992807,2.549999999750657,2.5499999930373303,2.549999843037235,2.549997163578602,2.5499594180861234,2.549547619561309,2.546143633389257,2.5253472154287233,2.433793566727797,2.1493103639737985,1.529025018023283,,1.286023138237093
1080.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999409,2.549999999977604,2.549999999320883,2.5499999832661038,2.5499996652992327,2.5499946093082846,2.54993094122018,2.5493070209729765,2.5446464439724483,2.518709703066435,2.41357290017075,2.1084781825922865,1.4759608463646248,,1.2695640113057496
1140.0,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999643,2.549999999998065,2.5499999999360288,2.549999998284014,2.549999962353177,2.5499993264799095,2.5499902568185577,2.5498873964422435,2.54897528322898,2.5427730894008502,2.511105313453155,2.392096289182982,2.066971659486361,1.420066947171971,,1.2541665092152083
1200.0,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998395,2.5499999999942,2.5499999998303866,2.5499999959394617,2.549999920079095,2.549998712012313,2.5499831508383344,2.549823150234902,2.5485308410365035,2.54047950792378,2.502522738979244,2.3693407190178166,2.020284445529376,1.3669690253260047,,1.2398128878453192
1260.0,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999496,2.5499999999838656,2.5499999995787324,2.5499999909326965,2.549999838833489,2.549997645735008,2.5499719804084506,2.5497313124744103,2.5479503448860013,2.5377248700098733,2.492962640401686,2.341905188400861,1.9743686641931144,1.3163345856873327,,1.2261678829541336
1320.0,2.55,2.55,2.55,2.55,2.55,2.549999999999975,2.5499999999985303,2.5499999999579743,2.54999999901262,2.5499999807716502,2.5499996895662953,2.5499958668552343,2.5499550036904597,2.5496036807380604,2.547209081907718,2.534472400712756,2.4809221884945303,2.3136388808856596,1.9292840724471711,1.2681716508394316,,1.2135770758213529
1380.0,2.55,2.55,2.55,2.55,2.55,2.5499999999998626,2.549999999995988,2.549999999896731,2.549999997802734,2.5499999610713675,2.5499994262030414,2.5499930022341615,2.5499299721119386,2.549430712048513,2.546281262859919,2.530354852670223,2.4675342239170828,2.284663611759596,1.8850420926198947,1.222310327418608,,1.2018090199002305
1440.0,2.55,2.55,2.55,2.55,2.55,2.549999999999635,2.549999999989663,2.54999999975914,2.549999995333671,2.5499999244189495,2.5499989781769643,2.5499885335689876,2.54989405120611,2.5492014951707787,2.5451403043991134,2.5252589834369874,2.4531129987660774,2.2551099766807035,1.8417031505003119,,,1.1905728011273498
1500.0,2.55,2.55,2.55,2.55,2.549999999999994,2.549999999999016,2.5499999999747356,2.5499999994641107,2.5499999905012887,2.549999858727083,2.549998240777989,2.549981760454363,2.5498437533225498,2.548903842596439,2.543532330841762,2.5194664064872825,2.437717522269855,2.2251046358905415,1.7993022063642612,,,1.1797606740720026
1560.0,2.55,2.55,2.55,2.55,2.549999999999892,2.549999999997484,2.549999999941127,2.5499999988577495,2.549999981396912,2.549999744930634,2.5499970631478157,2.5499717607579213,2.5497748856466087,2.5485096132320573,2.5415935652238573,2.512966657024005,2.421414116344438,2.194765584856154,1.757839099322285,,,1.169609190175031
1620.0,2.55,2.55,2.55,2.55,2.549999999999751,2.5499999999938567,2.54999999986865,2.5499999976589094,2.549999964832512,2.549999553871024,2.5499952338253493,2.5499573494054704,2.549682510961286,2.54795510486733,2.5393007086596144,2.505754021720582,2.4042619816792947,2.16417342606128,1.7172900894548944,,,1.1599002750778067
1680.0,2.55,2.55,2.55,2.55,2.5499999999993954,2.5499999999856424,2.5499999997184117,2.549999995371703,2.5499999356490464,2.5499992421923823,2.549992463601179,2.54993703444825,2.54955682482109,2.5472628866553997,2.5366279740663606,2.497828787136168,2.386326011392244,2.1334189521295777,1.677658975795633,,,1.1507081157452768
1740.0,2.55,2.55,2.55,2.549999999999921,2.549999999998527,2.549999999967784,2.54999999941811,2.54999999114937,2.5499998857377673,2.5499987470822885,2.5499883658889844,2.5499089750208173,2.5493746487583575,2.546413899785151,2.533552079644557,2.489195482042064,2.3676638773662986,2.1025574937573794,1.6389047650305024,,,1.1422234359629393
1800.0,2.55,2.55,2.55,2.5499999999998213,2.549999999996538,2.5499999999303786,2.549999998837745,2.549999983588894,2.5499998026939736,2.549997979699641,2.549982434556718,2.5498709377849194,2.5491392341106915,2.545388625834107,2.5300512275030496,2.4798589860854405,2.348323675191044,2.0716316262137244,1.601028555275096,,,1.134221430416495
1860.0,2.55,2.55,2.55,2.5499999999995815,2.5499999999923064,2.5499999998570604,2.549999997784707,2.549999970851645,2.549999672518797,2.549996858445566,2.549974342311198,2.549819006019728,2.5488656236148177,2.5442742729580115,2.526482429393617,2.4709182955548936,2.3309458707092636,2.045747419370773,1.5722043121355007,,,1.1265097955903665
1920.0,2.55,2.55,2.5499999999999488,2.5499999999990655,2.549999999983475,2.549999999715672,2.5499999958975113,2.549999949567305,2.5499994691675,2.54999521708562,2.5499632134375294,2.549749649467094,2.548528985879789,2.542979511412853,2.522539285776403,2.4614579960243868,2.3132054463480354,2.0200585755913814,1.5422996027131366,,,1.1189159598910952
1980.0,2.55,2.55,2.54999999999986,2.54999999999797,2.5499999999656344,2.549999999450891,2.5499999926043575,2.5499999148486627,2.5499991583135238,2.54999286006643,2.5499481625385574,2.549660135412328,2.548120296601269,2.5414905117970754,2.518215671805396,2.4515018484728213,2.29516016524531,1.9946208562523957,1.5131579738190186,,,1.1115844059516589
2040.0,2.55,2.55,2.5499999999997,2.5499999999957,2.5499999999306713,2.549999998968458,2.5499999869993775,2.549999859480917,2.549998692663494,2.5499895356918474,2.549928124719485,2.5495464083142174,2.5476302606110077,2.539794492466307,2.513508206007075,2.4410731222944237,2.2768514613319875,1.9690337551139505,1.48489105704208,,,1.1046068503088355
2100.0,2.55,2.5499999999999643,2.5499999999993532,2.549999999991135,2.549999999864081,2.549999998111828,2.549999977680642,2.5499997730373853,2.5499980083004132,2.549984925495814,2.5499013169661575,2.549403987882588,2.5470493150893523,2.5378792868593183,2.508414411947554,2.430192901602674,2.2583151827450325,1.9422431163905622,1.4574677593734502,,,1.0978313218354436
2160.0,2.550000000000008,2.5499999999998835,2.5499999999986382,2.549999999982192,2.549999999740592,2.549999996627227,2.549999962525646,2.5499996407448404,2.54999702034003,2.549978632551041,2.5498644697583535,2.54922797851261,2.54636773366335,2.535733726925951,2.502934446194878,2.4188861923800142,2.2395934729957823,1.915882915127977,1.4308455854349227,,,1.091297006358876
2220.0,2.549999999999973,2.549999999999748,2.549999999997193,2.5499999999651206,2.5499999995172997,2.5499999941125298,2.5499999383866863,2.5499994420582714,2.549995617920483,2.54997016949366,2.5498169122904404,2.549013107898679,2.54557579935308,2.533347899925107,2.49707067563324,2.4071776419278983,2.220431436290786,1.8899452448389777,1.4049859588385565,,,1.0851697554125797
2280.0,2.5499999999998715,2.549999999999483,2.549999999994341,2.549999999933324,2.5499999991230338,2.5499999899441326,2.5499999006865472,2.5499991489097393,2.549993658544681,2.549958946280955,2.5497563930627427,2.548753747418067,2.544663793413886,2.5307126188251243,2.4908255473197265,2.3950875622693335,2.199965748550553,1.8644198935988512,1.3798771156476914,,,1.0792067609254279
