time_s,R_m,T_K_max_abs,T_K_r_m,T_K_z_m,T_K_volume_RMSE,T_K_midplane_max_abs,T_K_endface_max_abs,T_K_middle_zone_max_abs,T_K_end_zone_max_abs,C_kg_kg_max_abs,C_kg_kg_r_m,C_kg_kg_z_m,C_kg_kg_volume_RMSE,C_kg_kg_midplane_max_abs,C_kg_kg_endface_max_abs,C_kg_kg_middle_zone_max_abs,C_kg_kg_end_zone_max_abs
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.02,0.0003084235614778663,0.02,0.125,4.853202996094602e-06,3.054075227737485e-05,0.0003084235614778663,3.054075233421827e-05,0.0003084235614778663,0.1963197397363614,0.02,0.125,0.0007863468158754539,0.0503613071875364,0.1963197397363614,0.0503613071875364,0.1963197397363614
2.0,0.02,0.0006901086318293892,0.02,0.125,1.7692800153987274e-05,4.311510497245763e-05,0.0006901086318293892,4.311510497245763e-05,0.0006901086318293892,0.1906793940821463,0.02,0.125,0.001119753944209079,0.042587346119239644,0.1906793940821463,0.042587346119239644,0.1906793940821463
3.0,0.02,0.0011409224246676786,0.02,0.125,3.7404558309031984e-05,5.227904244975434e-05,0.0011409224246676786,5.227904244975434e-05,0.0011409224246676786,0.18747978644069407,0.02,0.125,0.0012478599385384284,0.037278477362713947,0.18747978644069407,0.037278477362713947,0.18747978644069407
4.0,0.02,0.0016712198715822524,0.018169464157345213,0.125,6.321572537719848e-05,5.973632272571194e-05,0.0016712198715822524,5.973632272571194e-05,0.0016712198715822524,0.18559452061315174,0.02,0.125,0.0013197500649194235,0.03330769114315668,0.18559452061315174,0.03330769114315668,0.18559452061315174
5.0,0.02,0.0022646980312401865,0.017762678414533037,0.125,9.460640961333359e-05,6.611881832441213e-05,0.0022646980312401865,6.611881832441213e-05,0.0022646980312401865,0.18453196195457844,0.02,0.125,0.001394493660429172,0.030182773545713637,0.18453196195457844,0.030182773545713637,0.18453196195457844
6.0,0.02,0.0029121479767013625,0.01735573582317227,0.125,0.00013119579287149263,7.17451816854009e-05,0.0029121479767013625,7.174518174224431e-05,0.0029121479767013625,0.1840308513305806,0.02,0.125,0.0014902070743854322,0.02764191713018116,0.1840308513305806,0.02764191713018116,0.1840308513305806
7.0,0.02,0.0036087456868472145,0.016944640961407006,0.125,0.00017268784945020376,7.680291656697591e-05,0.0036087456868472145,7.680291656697591e-05,0.0036087456868472145,0.18393438711128907,0.02,0.125,0.0016078855704912227,0.025527799976545307,0.18393438711128907,0.025527799976545307,0.18393438711128907
8.0,0.02,0.004350742733151947,0.01652366428253007,0.125,0.0002188424720415459,8.141345335843653e-05,0.004350742733151947,8.141345341527995e-05,0.004350742733151947,0.18414058879618755,0.02,0.125,0.0017428578918322695,0.023737946706342328,0.18414058879618755,0.023737946706342328,0.18414058879618755
9.0,0.02,0.005135023915443071,0.016090738201011527,0.125,0.0002694587408052825,8.566080344962756e-05,0.005135023915443071,8.566080344962756e-05,0.005135023915443071,0.1845792755469131,0.02,0.125,0.0018898151810756558,0.02220170471450489,0.1845792755469131,0.02220170471450489,0.1845792755469131
10.0,0.02,0.005958958398707637,0.015645737689287544,0.125,0.000324364527107069,8.960597511986634e-05,0.005958958398707637,8.960597511986634e-05,0.005958958398707637,0.1852000920821384,0.02,0.125,0.002044481205364566,0.020868268028605197,0.1852000920821384,0.020868268028605197,0.1852000920821384
11.0,0.02,0.006820303792608229,0.015188849198253543,0.125,0.0003834096552929531,9.329494605481159e-05,0.006820303792608229,9.329494605481159e-05,0.006820303792608229,0.1859657329761073,0.02,0.125,0.002203833106473975,0.0196998998045248,0.1859657329761073,0.0196998998045248,0.1859657329761073
12.0,0.02,0.007717122873486915,0.014720437634316937,0.125,0.00044646119154227655,9.67633937420942e-05,0.007717122873486915,9.676339379893761e-05,0.007717122873486915,0.18684785341062948,0.02,0.125,0.002365862453764871,0.01866784147984557,0.18684785341062948,0.01866784147984557,0.18684785341062948
13.0,0.02,0.008647721224235738,0.01424106220447891,0.125,0.0005134000726875281,0.00010003966485783167,0.008647721224235738,0.00010003966485783167,0.008647721224235738,0.18782447263403546,0.02,0.125,0.002529275119509088,0.017749714813522388,0.18782447263403546,0.017749714813522388,0.18782447263403546
14.0,0.02,0.009610613387508238,0.01424106220447891,0.125,0.0005841186170332782,0.00010314672130107283,0.009610613387508238,0.00010314672130107283,0.009610613387508238,0.18887825614208342,0.02,0.125,0.002693248766437201,0.016927802804971304,0.18887825614208342,0.016927802804971304,0.18887825614208342
15.0,0.02,0.010604461399680076,0.013751476202782456,0.125,0.0006585186376811622,0.00010610346748762822,0.010604461399680076,0.00010610346748762822,0.010604461399680076,0.18999534008735974,0.02,0.125,0.0028572628844633833,0.016187872979981144,0.18999534008735974,0.016187872979981144,0.18999534008735974
16.0,0.02,0.011628037649416001,0.013252608438803094,0.125,0.0007365099804893118,0.00010892568326426044,0.011628037649416001,0.00010892568332110386,0.011628037649416001,0.19116450363387782,0.02,0.125,0.0030209871036692825,0.015518348743401411,0.19116450363387782,0.015518348743401411,0.19116450363387782
17.0,0.02,0.012680255500356452,0.012745523557934853,0.125,0.0008180093694577267,0.0001116266961389556,0.012680255500356452,0.00011162669619579901,0.012680255500356452,0.1923765720842523,0.02,0.125,0.00318421016413342,0.014909711611314158,0.1923765720842523,0.014909711611314158,0.1923765720842523
18.0,0.02,0.013760139501982849,0.012745523557934853,0.125,0.0009029394798599174,0.00011421787729659627,0.013760139501982849,0.00011421787729659627,0.013760139501982849,0.19362397744850357,0.02,0.125,0.0033467955084205184,0.014354060978871708,0.19362397744850357,0.014354060978871708,0.19362397744850357
19.0,0.02,0.014866762943881895,0.012231363588077493,0.125,0.0009912281835295217,0.00011670901739080364,0.014866762943881895,0.00011670901739080364,0.014866762943881895,0.1949004290781957,0.02,0.125,0.00350865374897083,0.01384478403626277,0.1949004290781957,0.01384478403626277,0.1949004290781957
20.0,0.02,0.01599928119071592,0.01171127758374588,0.125,0.0010828079265828234,0.0001191086115568396,0.01599928119071592,0.0001191086115568396,0.01599928119071592,0.19620066290037252,0.02,0.125,0.003669725644362224,0.013376304357382018,0.19620066290037252,0.013376304357382018,0.19620066290037252
21.0,0.02,0.017156933956869125,0.01171127758374588,0.125,0.0011776152105990086,0.0001214240844547021,0.017156933956869125,0.00012142408451154552,0.017156933956869125,0.19752024784097078,0.02,0.125,0.003829971557276688,0.012943887742251192,0.19752024784097078,0.012943887742251192,0.19752024784097078
22.0,0.02,0.01833899098795655,0.01118634914836078,0.125,0.0012755901557811398,0.00012366196506263805,0.01833899098795655,0.00012366196506263805,0.01833899098795655,0.19885543455418286,0.02,0.125,0.00398936489109139,0.012543490422077586,0.19885543455418286,0.012543490422077586,0.19885543455418286
23.0,0.02,0.01954477805196575,0.010657534580487177,0.125,0.00137667612981146,0.00012582802793303927,0.01954477805196575,0.00012582802798988268,0.01954477805196575,0.20020303591278665,0.02,0.125,0.0041478879648569516,0.012171639075312157,0.20020303591278665,0.012171639075312157,0.20020303591278665
24.0,0.02,0.02077368297511839,0.010657534580487177,0.125,0.001480819430053676,0.0001279274075614012,0.02077368297511839,0.00012792740761824462,0.02077368297511839,0.20156033165998055,0.02,0.125,0.00430552938426208,0.011825335049431729,0.20156033165998055,0.011825335049431729,0.20156033165998055
25.0,0.02,0.02202510457328799,0.010125623080643572,0.125,0.0015879690094030912,0.00012996468990422727,0.02202510457328799,0.0001299646899610707,0.02202510457328799,0.2029249916615652,0.02,0.125,0.004462282333658616,0.01150197722216273,0.2029249916615652,0.01150197722216273,0.2029249916615652
26.0,0.02,0.023298497238215532,0.010125623080643572,0.125,0.0016980762382274453,0.00013194398962923515,0.023298497238215532,0.00013194398962923515,0.023298497238215532,0.20433342455224146,0.018983035642969562,0.125,0.004618143438771184,0.011199299371391191,0.20433342455224146,0.011199299371391191,0.20433342455224146
27.0,0.02,0.024593343908463794,0.009591223921703376,0.125,0.001811094696382462,0.00013386901258627404,0.024593343908463794,0.00013386901258627404,0.024593343908463794,0.2062579298383742,0.018983035642969562,0.125,0.0047731119864476415,0.01091531894952702,0.2062579298383742,0.01091531894952702,0.2062579298383742
28.0,0.02,0.025909148303355778,0.00905477808544069,0.125,0.0019269799905197347,0.0001357431094106687,0.025909148303355778,0.0001357431094106687,0.025909148303355778,0.20816027302352813,0.018983035642969562,0.125,0.0049271893709220286,0.010648294902628752,0.20816027302352813,0.010648294902628752,0.20816027302352813
29.0,0.02,0.027245455266438512,0.00905477808544069,0.125,0.0020456895927453973,0.00013756931957686902,0.027245455266438512,0.00013756931957686902,0.027245455266438512,0.2100409814792492,0.018983035642969562,0.125,0.005080378686531923,0.010396692721712508,0.2100409814792492,0.010396692721712508,0.2100409814792492
30.0,0.02,0.02860181880299706,0.008516585872756742,0.125,0.002167182697518115,0.00013935040931301046,0.02860181880299706,0.00013935040936985388,0.02860181880299706,0.21190058925043642,0.018983035642969562,0.125,0.00523268441749272,0.010159155320404789,0.21190058925043642,0.010159155320404789,0.21190058925043642
31.0,0.02,0.029977825577873318,0.008516585872756742,0.125,0.002291420094089029,0.0001410889036037588,0.029977825577873318,0.0001410889036037588,0.029977825577873318,0.2137396307562871,0.018983035642969562,0.125,0.005384112193967663,0.009934478639035849,0.2137396307562871,0.009934478639035849,0.2137396307562871
32.0,0.02,0.03137307916665577,0.007976840399843262,0.125,0.002418364052372914,0.0001427871135319947,0.03137307916665577,0.0001427871135319947,0.03137307916665577,0.21555863587447233,0.018983035642969562,0.125,0.005534668595027212,0.009721591107366034,0.21555863587447233,0.009721591107366034,0.21555863587447233
